Publication Number,Title,Abstract,All Claims,First US Classification,All CP Classifications,All IP Classifications
US20050164598,"Removable and reconfigurable doll clothing","This invention relates to reconfigurable and removable doll clothing made from one or more pieces an elastomeric self-adhering material. The clothing may include detail such as belts sashes and collars made from the same material of like or different color.","1. Simulated clothing for a doll or a doll-sized or dress formed shaped mannequin comprising: 
a first piece of material having self-adherent and elastomeric properties; 
the first piece of material having a size and shape conducive for placement on or around a portion of a doll or a doll-sized or dress form shaped mannequin; 
so that the piece may be applied to a portion of a doll or a doll-sized or dress form shaped mannequin and secured by self-adhesion of overlapping portions of the piece. 
 
2. The doll clothing of claim 1 wherein the material resists tearing and shearing but is cuttable with scissors. 
 
3. The doll clothing of claim 1 wherein the piece is formed into a shape that can be used to simulate an article of clothing or part thereof on a doll or a doll-sized or dress formed shaped mannequin. 
 
4. The doll clothing of claim 1 wherein the piece is sized originally to a size and shape to form a simulated piece of clothing or part thereof. 
 
5. The doll clothing of claim 1 wherein the material comprises a laminate of non-woven material including lengthwise elastic fibers for elasticity and including cohesive properties to provide self-adhesiveness but not adhesiveness to other materials or hair. 
 
6. The doll clothing of claim 5 wherein the material is natural rubber latex-free. 
 
7. The doll clothing of claim 1 further comprising a second piece of said material adapted to be applied to a portion of a doll or a doll-sized or dress form shaped mannequin and/or said first piece. 
 
8. The doll clothing of claim 1 further comprising a second piece of said material applied onto said first piece. 
 
9. The doll clothing of claim 7 further comprising a third piece of said material adapted to be applied to a portion of the doll or the doll-sized or dress form shaped mannequin and/or said first and/or said second piece of material. 
 
10. The doll clothing of claim 1 wherein the piece of material simulates an article of clothing. 
 
11. The doll clothing of claim 7 wherein the first and second pieces of said material simulate an article of clothing. 
 
12. The doll clothing of claim 8 wherein the second piece simulates ornamentation or a pattern on the first piece. 
 
13. The doll clothing of claim 7 wherein said first and second pieces simulate at least part of an outfit of simulated clothing for a doll or a doll-sized or dress form shaped mannequin. 
 
14. The doll clothing of claim 7 wherein said first and second pieces vary by color, size, or shape. 
 
15. The doll clothing of claim 7 wherein one simulated article of clothing is configured from one or more pieces of said material. 
 
16. The doll clothing of claim 1 in combination with a doll or a doll-sized or dress form shaped mannequin. 
 
17. The doll clothing of claim 16 wherein the doll or the doll-sized or dress form shaped mannequin is three dimensional at least in part. 
 
18. A method of simulating clothing on a doll or a doll-sized or dress form shaped mannequin, comprising: 
providing a piece of material having self-adherent and elastomeric properties; 
wrapping said piece around a portion of a doll or a doll-sized or dress form shaped mannequin; 
securing the piece to the doll or the doll-sized or dress form shaped mannequin by overlapping and pressing together portions of the piece. 
 
19. The method of claim 18 further comprising a second piece of said material to the doll. 
 
20. The method of claim 18 further comprising overlaying a piece of said material over said first piece of material and adhering it by said self-adherent properties. 
 
21. A method of making doll clothing comprising: 
providing a plurality of pieces of elastomeric, self-adherent material; 
placing one or more pieces of the material on a doll figure or a doll-sized or dress form shaped mannequin by self-adhering at least one piece to simulate the appearance of an article of clothing on the doll figure. 
 
22. The method of claim 21 wherein the article of clothing can form an accessory. 
 
23. The method of claim 21 further comprising adhering a second piece of the material onto the article of clothing, wherein the second piece forms an ornament on the article of clothing. 
 
24. The method of claim 21 further comprising adhering a second piece of the material onto the doll figure, wherein the second piece of material forms an accessory on the doll figure. 
 
25. The method of claim 21 wherein a first piece and second pieces of material can be the same or different colors, sizes or shapes. 
 
26. The method of claim 21 wherein the article of clothing is reconfigurable. 
 
27. The method of claim 21 wherein the article of clothing is removable. 
 
28. Doll clothing made by the method of claim 21. 
 
29. Accessories made by the method of claim 21. 
 
30. The doll clothing of claim 28 comprising at least one adhered detail such as a belt, ornament, sash, or collar also made of the material. 
 
31. The method of claim 21 wherein the article of clothing can form shoe apparel. 
 
32. A kit for clothing a doll or a doll-sized or dress form shaped mannequin comprising: 
a plurality of pieces of elastomeric, self-adherent material; and 
instructions for making articles of doll clothing with one or more of said pieces. 
 
33. The kit of claim 32 wherein the pieces are of the same or different colors, sizes or shapes. 
 
34. The kit of claim 32 further comprising a doll or a doll-sized or dress form shaped mannequin. 
 
35. The kit of claim 32 further comprising a fashion wheel. 
 
36. A kit for designing or making doll clothes comprising: 
one or more pieces of elastomeric, self-adherent material for use in cutting out pieces to simulate articles of clothing, ornaments, patterns, or accessories on doll figures; and 
instructions for making articles of clothing, or make patterns or accessories of the pieces for application onto dolls or doll-sized or dress form shaped mannequins. 
 
37. The kit of claim 36 wherein the material is self-adherent, wrap made of a laminate of non-woven material and elastic fibers to provide elasticity. 
 
38. The kit of claim 36 further comprising a doll or a doll-sized or dress form shaped mannequin. 
 
39. The kit of claim 36 further comprising a fashion wheel.",446296000,A63H0003520000,"A63H00300000 | A63H00352000 | A63H01302000"
US6022259,"Apparatus for storing fashion doll clothes and accessories","A fashion doll clothes holder for doll clothes and accessories of the type having fasteners having a plurality of panels hingedly connected together to form an enclosure. The enclosure has an inner surface including fasteners adapted to releasably engage the fasteners on doll clothes and accessories to secure the doll clothes and accessories to the panels.","1. A holder for dolls, doll clothes and accessories wherein the doll
clothes have fasteners, said holder comprising:
a back panel having a left side and right side;
a left side panel hingedly connected to said back panel left side;
a right side panel hingedly connected to said back panel right side;
a front panel hingedly connected to a side of one of said left side panel
and said right side panel;
an auxiliary panel hingedly connected to a side of said front panel;
wherein said back panel. said left side panel, said right side panel and
said front panel substantially form a boxlike enclosure configured for
storing three-dimensional articles wherein said auxiliary panel folds flat
against said front panel, said back panel, said front panel and said
auxiliary panel each having an inner surface; and
a lining secured to and substantially covering said inner surface of at
least one of said back panel, said front panel and said auxiliary panel,
said lining adapted to releasably engage the fasteners on the doll clothes
to secure the doll clothes for storage at substantially any location on
said lining.
2. The holder of claim 1 further comprising an end flap extending from an
outer side edge of one of said back panel, said front panel and said
auxiliary panel, said end flap configured to secure to an outer surface of
another of said back panel, said front panel and said auxiliary panel to
hold said enclosure in the boxlike configuration.
3. The holder of claim 1 further comprising a storage compartment attached
to said inner surface of said back panel, said storage compartment for
holding clothes and accessories which do not have fasteners, wherein said
storage compartment forms a bottom for said enclosure.
4. The holder of claim 1 wherein said lining comprises a pile material for
releasably engaging hook portions of hook and loop type fasteners on the
doll clothes.
5. The holder of claim 4 wherein said pile material comprises felt.
6. The holder of claim 1 wherein said lining comprises the loop portions of
hook and loop type fasteners for releasably engaging hook portions of hook
and loop type fasteners on the doll clothes.
7. The holder of claim 1 wherein said lining comprises the hook portions of
hook and loop type fasteners for releasably engaging the loop portions of
hook and loop type fasteners on the doll clothes.
8. The holder of claim 1 further comprising a top panel extending upwardly
from an upper edge of one of said back panel, said front panel and said
auxiliary panel, wherein said top panel forms a top of said enclosure when
said panels are folded into the generally rectangular box configuration.
9. The holder of claim 8 wherein the top panel includes a flap adapted to
fold over and engage one of the other panels to secure the panels in their
folded configuration forming the enclosure.
10. A holder in accordance with claim 1 further comprising at least one
pouch attached to at least one of said left side panel and said right side
panel, said pouch configured to hold a doll.
11. A holder in accordance with claim 10 wherein said pouch is configured
to hold a standard fashion doll.
12. A holder in accordance with claim 1 wherein said lining is secured to
and substantially covers said back panel inner surface, said front panel
inner surface, and said auxiliary panel inner surface.",446080000,"A63H0003520000 | Y10S0446901000",A63H00352000
CN2787278,"Toy for cutting and making doll clothes","The utility model discloses a toy for cutting and making doll clothes and aims to provide the toy for cutting and making doll clothes which has the advantages of simple structure easy fabrication strong doing performance and convenient utilization. The utility model is composed of at least one piece of face fabric marked with cutting lines and tailoring guide lines of clothes pieces of at least a piece of doll clothes. The cutting lines of the clothes pieces form the outlines of the clothes pieces. The corresponding tailoring guide lines are marked in the outlines. The face fabric is made of chemically woven fabrics. The utility model is mainly used for meeting the amusement requirement for cutting and making the doll clothes by oneself.","1. tailor the toy that doll is worn clothes for one kind, it is characterized in that, it is had the cutting wires of the each several part garment piece of at least one doll clothing to constitute with at least one lining making guide line by mark, the cutting wires of described each several part garment piece constitutes the profile of each several part garment piece, marks to have in the profile of described each several part garment piece and makes guide line accordingly.
      
      
        2. toy of tailoring doll clothing according to claim 1 is characterized in that, the position of the profile of described each several part garment piece on lining makes all garment pieces of cutting along cutting wires independent completion separately.
      
      
        3. toy of tailoring the doll clothing according to claim 1 is characterized in that described cutting wires is a solid line.
      
      
        4. toy of tailoring the doll clothing according to claim 1 is characterized in that the described guide line of making is the garment piece suture.
      
      
        5. toy of tailoring the doll clothing according to claim 4 is characterized in that described garment piece suture is a dotted line.
      
      
        6. toy of tailoring the doll clothing according to claim 1 is characterized in that described lining is a bonded fabric.
      
      
        7. toy of tailoring doll clothing according to claim 1 is characterized in that, described lining is furnished with lace and sequin as standby ornamental part.",446048000,A63H0003520000,A63H00352000
US4297153,"Method and apparatus for making doll clothing and doll house accessories","A method and apparatus for making doll clothing and doll house accessories includes a plurality of mold shapes or forms which are used to produce various articles of attire such as dresses pants and doll house furnishings such as cushions curtains rugs flowers and many other items. Each of the garment molds may include detachable portions such as the arms to facilitate removing a finished article from the mold itself. The doll house accessories are made in generally flat molds which provide the texture and shape of the finished item. A viscous liquid plastic is applied to the exterior surface of the mold by a brush or other tool to cover the exterior of the mold which defines the particular article. The liquid coating sets or solidifies to form a flexible article adapting the contours of the mold. The garment is then removed from the exterior of the mold.","1. A method for making doll house accessories which comprises the steps of:
providing a mold having physical dimensions similar to a portion of the
accessory to be formed;
applying a water soluble resinous film forming liquid to the surfaces of
said mold;
forming a plastic film on said surfaces by allowing said liquid to dry;
removing the finished accessory from the mold; and
attaching decorative elements to said plastic film by moistening the
contact surface of said film to which said element is to be attached.
2. The method of claim 1 wherein the film-forming liquid is manually
applied to the mold with a brush tool.
3. The method of claim 2 including the step of incorporating decorative
colors in the liquid prior to application to the mold.
4. The method of claim 3 wherein said liquid is composed of polyvinyl
alcohol.
5. The method of claims 1 or 2 including the step of molding a textured
surface on the accessories.
6. The method of claim 1 including the step of providing the form with a
raised surface to facilitate the removal of the film from the form.
7. The method of claim 6 including the step of rubbing off said liquid from
said raised surface to produce a smooth edged accessory.
8. An apparatus for making doll clothing by applying a resinous liquid to
the exterior thereof which dries to form a plastic film, comprising:
a torso portion similar in size and shape to that of the doll to be
clothed; and
means for forming overlapping portions of said doll clothing, said means
being connected to said torso portion and including an upstanding flange.
9. The apparatus of claim 8 including means defining a severance
discontinuity to facilitate removal of the garment from the mold.
10. The apparatus of claim 8 including a brush for applying the
film-forming liquid to the exterior of said mold.
11. The apparatus of claim 8 including a pair of arms for said torso and
connecting means for removably mounting the arms on the torso.
12. The apparatus of claim 11 wherein said connecting means comprises a
flush fitting tab extending outwardly from said arm and a complementary
tab receiver in the torso to facilitate removal of the garment from the
form.
13. A form for making doll clothing by applying a resinous liquid which
dries to form a plastic film to the exterior of a mold portion,
comprising:
a first torso mold portion;
at least one removably mounted appendage; and
connecting means for permitting disconnection of said appendage from said
mold portion when said portion and said appendage are covered by said
film, said connecting means comprising a flush fitting tab extending
outwardly from said arm and a complementary tab receiver in the torso to
facilitate removal of the garment from the form.
14. The form of claim 13 including a second torso mold portion including a
pair of appendages; and
connecting means for removably connecting the first torso mold portion to
the second torso mold portion.
15. The apparatus of claim 14 wherein said first and second torso mold
portions include a severance discontinuity forming a continuous link
between the first and second portions.",156063000,"B44C0003040000 | A63H0009000000 | B29C0033440000 | B29C0033485000 | B29C0041180000 | B29C0041386000 | B29C2793009000 | B29L2031521800 | Y10S0273050000 | Y10T0156108900","A63H00900000 | B29C03344000 | B29C03348000 | B29C04118000 | B29C04138000 | B44C00304000"
WO2007008240,"Clock with movable numbers having hangers for doll clothes","A clock assembly (10) having a removable central clock mechanism (12) with time indicating hands (18 20 21) is adapted to be mounted on a flat vertical surface (26) and separate removable hour disks (14) having numerals (34) connected to hanger elements (36) adapted to be mounted on the vertical surface around the central clock mechanism in correct positions to tell time. Doll clothes (40) are selectively hung on or removed from the hanger elements behind the numerals.","1. A clock assembly, comprising: a central clock mechanism having time indicating hands mounted on a housing having an operating mechanism and at least one opening adapted to selectively and removably hang the housing on a vertical surface; and a plurality of separate hour number disks having bodies with hour numbers and hanger portions secured thereto, adapted to be positioned on a vertical surface around the central clock mechanism and have doll outfits hung on or removed from the hanger portions.
2. The clock assembly of claim 1 wherein the central clock mechanism has a front face with a design element thereon.
3. The clock assembly of claim 2 wherein the plurality of separate hour number disks include substantially round bodies with numbers secured to arms extending from a first surface of the bodies, which arms serve as hanging portions for doll clothes.
4. The clock assembly of claim 3 wherein the substantially round bodies have apertures formed therein to enable the separate hour number disks to be removably mounted on a vertical surface.
5. The clock assembly of claim 1 wherein the plurality of separate hour number disks include substantially round bodies with numbers secured to arms extending from a first surface of the bodies, which arms serve as hanging portions for doll clothes.
6. The clock assembly of claim 3 wherein the substantially round bodies have apertures formed therein to enable the separate hour number disks to be removably mounted on a vertical surface.
7. The clock assembly of claim 6 wherein the central clock mechanism has a front face with a design element thereon.  
8. A clock assembly, comprising: a central clock mechanism having time indicating hands mounted on a housing with a front face and containing an operating mechanism; at least one opening formed in the operating mechanism adapted to selectively and removably hang the central clock mechanism on a vertical surface; and a plurality of separate hour number disks having bodies with spaced hour numbers secured to doll clothing hanger portions secured thereto, adapted to be positioned on a vertical surface around the central clock mechanism and have doll outfits hung on or removed from the doll clothing hanger portions.
9. The clock assembly of claim 8 wherein the plurality of separate hour number disks include substantially round bodies with the spaced hour numbers secured to arms extending from a first surface of the bodies, which arms serve as the doll clothing hanger portions.
10. The clock assembly of claim 9 wherein the front face has a design element thereon formed around its periphery.
11. The clock assembly of claim 10 wherein the time indicating hands on the central clock has minute, hour and second hands rotatably mounted on the front face.
12. A clock assembly, comprising: a central clock mechanism having time indicating hands mounted on a housing with a front face and containing an operating mechanism; at least one opening formed in the operating mechanism for removably mounting the central clock mechanism on a vertical surface; and a plurality of separate hour number disks having bodies with spaced hour numbers secured to doll clothing hanger portions secured to the bodies; the plurality of separate hour number disks removably secured to  the vertical surface in positions around the central clock mechanism whereby they indicate the correct time; and a plurality of doll outfits selectively hung on hangers and selectively hung on or removed from the doll clothing hanger portions of the plurality of separate hour number disks.
13. The clock assembly of claim 12 wherein the plurality of separate hour number disks include substantially round bodies having apertures therein and wherein the spaced hour numbers are secured to arms extending from a first surface of the bodies, which arms serve as the doll clothing hanger portions.
14. The clock assembly of claim 12 wherein the front face has a design element thereon formed around its periphery.",368027000,"G04B0019106000 | G04B0047020000","G04B02500000 | G04C01700000"
US7196974,"Clock with movable numbers having hangers for doll clothes","A clock assembly ( 10 ) having a removable central clock mechanism ( 12 ) with time indicating hands ( 18 20 21 ) is adapted to be mounted on a flat vertical surface ( 26 ) with and separate removable hour disks ( 14 ) having numerals ( 34 ) connected to hanger elements ( 36 ) adapted to be mounted on the vertical surface around the central clock mechanism in correct positions to tell time. Doll clothes ( 40 ) are selectively hung on or removed from the hanger elements behind the numerals.","1. A clock assembly, comprising:
a central clock mechanism having time indicating hands mounted on a housing having an operating mechanism and at least one opening adapted to selectively and removably hang the housing on a vertical surface; and
a plurality of separate hour number disks having bodies with hour numbers and hanger portions secured thereto, adapted to be positioned on a vertical surface around the central clock mechanism and have doll outfits hung on or removed from the hanger portions.
2. The clock assembly of claim 1 wherein the central clock mechanism has a front face with a design element thereon.
3. The clock assembly of claim 2 wherein the plurality of separate hour number disks include substantially round bodies with numbers secured to arms extending from a first surface of the bodies, which arms serve as hanging portions for doll clothes.
4. The clock assembly of claim 3 wherein the substantially round bodies have apertures formed therein to enable the separate hour number disks to be removably mounted on a vertical surface.
5. The clock assembly of claim 3 wherein the substantially round bodies have apertures formed therein to enable the separate hour number disks to be removably mounted on a vertical surface.
6. The clock assembly of claim 5 wherein the central clock mechanism has a front face with a design element thereon.
7. The clock assembly of claim 1 wherein the plurality of separate hour number disks include substantially round bodies with numbers secured to arms extending from a first surface of the bodies, which arms serve as hanging portions for doll clothes.
8. A clock assembly, comprising:
a central clock mechanism having time indicating hands mounted on a housing with a front face and containing an operating mechanism;
at least one opening formed in the operating mechanism adapted to selectively and removably hang the central clock mechanism on a vertical surface; and
a plurality of separate hour number disks having bodies with spaced hour numbers secured to doll clothing hanger portions secured thereto, adapted to be positioned on a vertical surface around the central clock mechanism and have doll outfits hung on or removed from the doll clothing hanger portions.
9. The clock assembly of claim 8 wherein the plurality of separate hour number disks include substantially round bodies with the spaced hour numbers secured to arms extending from a first surface of the bodies, which arms serve as the doll clothing hanger portions.
10. The clock assembly of claim 9 wherein the front face has a design element . . . thereon formed around its periphery.
11. The clock assembly of claim 10 wherein the time indicating hands on the central clock has minute, hour and second hands rotatably mounted on the front face.
12. A clock assembly, comprising:
a central clock mechanism having time indicating hands mounted on a housing with a front face and containing an operating mechanism;
at least one opening formed in the operating mechanism for removably mounting the central clock mechanism on a vertical surface; and
a plurality of separate hour number disks having bodies with spaced hour numbers secured to doll clothing hanger portions secured to the bodies;
the plurality of separate hour number disks removably secured to the vertical surface in positions around the central clock mechanism whereby they indicate the correct time; and
a plurality of doll outfits selectively hung on hangers and selectively hung on or removed from the doll clothing hanger portions of the plurality of separate hour number disks.
13. The clock assembly of claim 12 wherein the plurality of separate hour number disks include substantially round bodies having apertures therein and wherein the spaced hour numbers are secured to arms extending from a first surface of the bodies, which arms serve as the doll clothing hanger portions.
14. The clock assembly of claim 12 wherein the front face has a design element thereon formed around its periphery.",368228000,"G04B0019106000 | G04B0047020000","G04B01904000 | G04B01920000"
US3753312,"Doll and doll clothing ensemble","A doll having a three-dimensional head and a two-dimensional body said doll being in combination with a cloth-vinyl laminated article of doll clothing physically bondable to the doll body.","1. A doll and doll clothing ensemble comprising a doll including a three-dimensional head and a flat body, said body being coated with a plastic material which is physically removably bondable to a tacky vinyl surface when pressed into contact therewith, and at least one article of doll clothing comprising a laminate including an outermost cloth layer representative of said article of clothing, an innermost tacky vinyl layer removably bondable to said plastic material coated body and a pressure sensitive adhesive layer intermediate said cloth layer and said tacky vinyl layer, said cloth layer being adhered to said tacky vinyl layer by said intermediate adhesive layer.
2. An ensemble according to claim 1, wherein the plastic coating material is polyvinyl chloride.
3. An ensemble in accordance with claim 1 wherein said laminate is a clothing laminate produced by coating said adhesive onto a silicon paper, curing said adhesive by heating, pressing said cured adhesive coated paper to said tacky vinyl layer to adhere said paper to said tacky vinyl layer, removing said silicon paper from said vinyl layer so as to leave said pressure sensitive adhesive layer exposed on and coated to said vinyl layer, and adhering said cloth layer to said vinyl layer by contacting said cloth layer with said exposed adhesive layer.",446387000,A63H0003100000,A63H00310000
CN202010424,"Support for barbie doll clothing","The utility model provides a support for Barbie doll clothing. The support comprises an outer case an elastic and flexible sheet and an inner case wherein the outer case comprises a front outer case section and a rear outer case section; a clamp slot and a buckle are formed on the front outer case section and the rear outer case section respectively and positioned to face each other in the horizontal direction; openings of the same size are formed on the outer case and the inner case and positioned to face each other; the elastic and flexible sheet is sandwiched between the outer case and the inner case and the inner case is depressed inside the outer case; and a slit is formed on the elastic and flexible sheet and faces the openings on the outer case and the inner case. The support for Barbie doll clothing is fitted outside the body of a Barbie doll. The slit that is formed on the elastic and flexible sheet is wave-shaped. The outer case is fishtail-shaped A-shaped or lantern-shaped. By virtue of the split-type structure and the elastic and flexible sheet technique fabric material can be freely wrapped on the Barbie doll to achieve a satisfactory shape and a child can conveniently apply the support for Barbie doll clothing to different dolls. The support for Barbie doll clothing has a wide variety of modes and is very convenient to use.","1. a Barbie doll clothing support is characterized in that, comprises shell, elasticity film, inner casing; Assembly housing and back assembly housing before described shell comprises; Be respectively equipped with corresponding draw-in groove of position level and buckle on assembly housing and the back assembly housing before described; Have corresponding mouthful of equal and opposite in direction, position on described shell and the inner casing; Accompany the elasticity film between described shell and the inner casing, inner casing is depressed among the shell; Have finedraw on the described elasticity film, the position in hole is corresponding on described finedraw position and shell, the inner casing.
      
      
        2. Barbie doll clothing support as claimed in claim 1 is characterized in that: described Barbie doll clothing support is fastened on the Barbie doll body outside.
      
      
        3. Barbie doll clothing as claimed in claim 1 support is characterized in that: finedraw is shaped as waveform on the described elasticity film.
      
      
        4. Barbie doll clothing support as claimed in claim 1, it is characterized in that: described shell can be designed to fishtail, A font, bird-caging.",446343000,"A63H0003360000 | A63H0003520000","A63H00336000 | A63H00352000"
KR200420738,"Paper doll clothes","This devise relates to a paper doll clothes  otbon using scissors or a knife for paper are drawn I then cut out the dolls clad  and using the Velcro on the paper doll clothes that can enable the creation of a doll dressed in a variety of shapes to suit the taste of young children in a variety of otbon paper doll clothes for the kkeutcheori .","In the  Dolls (30),  otbon 20 and clippings according to the feature in the paper 10 is drawn a predetermined shape to match the size of the doll (30);  any ride on both ends of, be a paper doll clothes, characterized in that it is composed of a Velcro attachment (40) for attachment of said cutout otbon (20). 
 The method of claim 1, wherein  material for the paper (10) is colored, whether paper doll clothes, characterized in that at least one of a shrink. 
 The method of claim 1, wherein  that a Velcro attachment (40) in any position of the paper doll clothing and any attached Velcro 40 on the back of ornaments (50) to attach the ornaments 50 on the paper doll clothing paper doll clothes features.",446387000,A63H0003080000,A63H00308000
BR102015016742,"Reinforcement structure for employment in doll clothes","reinforcement structure for use in doll clothes proposes a reinforcement structure (1) for doll clothes (2) made of materials such as latex vinyl and the like; doll clothes (2) made of rubberized materials require an opening in order to be worn on their toys the openings quoted are usually made up of cracks that end simply which with the frequent use of dressing and undressing the dolls ends up tearing permanently damaging the doll&#39;s clothes (2); the reinforcing structure (1) now proposed aims to eliminate the occurrence of tears in the terminations of the dolls clothes openings (2); the reinforcement structure (1) for use in dolls clothing (2) comprises a region (3) preferably semicircular in shape disposed at the end (4) of the slot (5) wherein the region (3) has a region of thickness (6) greater than the region of thickness (7) present along the slot (5).","1. ""STRENGTHENING STRUCTURE FOR DOLL CLOTHING"", applied to dolls' clothing (2) made of materials such as latex, vinyl and the like, provided with a slit (5), the stiffening structure (1) being characterized by have a semicircular shaped region (3) disposed at the end (4) of the slot (5), where the region (3) has a region of thickness (6) greater than the region of thickness (7) present along the slot (5) ).
2. ""STRENGTHENING STRUCTURE FOR DOLL CLOTHING"" according to claim 1, the stiffening structure (1) having a semi-elliptical shaped region (3) disposed at the end (4) of the slit (5), where the semieliptic region (3) has a thickness region (6) greater than the thickness region (7) present along the slit (5).
3. ""STRENGTHENING STRUCTURE FOR DOLL CLOTHING"" according to claim 1, wherein the reinforcing structure (1) is characterized by having a semioval shaped region (3) disposed at the end (4) of the slit (5), where the semioval region (3) has a thickness region (6) greater than the thickness region (7) present along the slot (5).",446048000,A63H0003520000,A63H00352000
