Publication Number,Title,Abstract,All Claims,First US Classification,All CP Classifications,All IP Classifications
US5769687,"Rotatable toy eye","A toy eye includes an eye ball rotatably received in the housing and a spring for biasing against the eye ball and for positioning the eye ball in place. The eye ball includes a hole formed in the rear end for engaging with a pin which is secured on a disc. A flexible wire has one end secured to the disc and has the other end secured to a motor for allowing the motor to rotate the wire and the disc and for allowing the pin to rotate the eye ball.","1. A toy eye comprising:
a housing,
an eye ball rotatably received in said housing, said eye ball including a
rear end having a hole, and
means for rotating said eye ball, said rotating means including a pin
engaged in said hole of said eye ball, and means for actuating said pin
and for rotating said eye ball, said actuating means including a cap
secured to said housing and having an orifice, a disc rotatably engaged in
said housing, and a wire having a first end engaged in said orifice of
said cap and secured to said disc for rotating said disc and said pin.
2. A toy eye according to claim 1 further comprising means for biasing
against said eye ball and for positioning said eye ball in place.
3. A toy eye according to claim 1, wherein said housing includes a front
end having an annular flange extended radially inward for engaging with
said eye ball and for preventing said eye ball from being disengaged from
said housing.
4. A toy eye according to claim 1, wherein said wire includes a second end,
said actuating means further includes a first gear secured to said second
end of said wire and includes a motor for rotating said first gear.
5. A toy eye according to claim 1 further comprising a flexible tube
including a first end secured to said cap for receiving said wire.",446343000,A63H0003400000,A63H00340000
TW201102141,"Toy eye and toy using same","The present invention relates to a toy eye. The toy eye includes a substrate. The substrate is drawn a pupil an iris and a white of the eye. A discoloration layer is covered on the substrate. The discoloration layer includes a pupil area and a white area which are made from reversible thermochromatic material. The discoloration layer is translucent except the pupil area and the white area. Both of the pupil area and the white area include an original state and a discoloration state. The pupil area is disposed around the projection area of the pupil on the discoloration layer. When the temperature of the pupil area is higher than the discoloration temperature of the pupil area the color of the pupil area will change to the color of the iris. When the temperature of the pupil area is lower than the discoloration temperature of the pupil area the pupil area will keep the original state. The white area is disposed at the projection area of the white of the eye on the discoloration layer. When the temperature of the white area is higher than the discoloration temperature of the white area the color of the white area will turn red. When the temperature of the white area is lower than the discoloration temperature of the white area the white area will keep the original state. The present invention also provides a toy with the toy eye.","1 102 141 seven patent scope: 1. A toy eyes, including layers, pre-painted pupil, iris and whites on the layer, the improvement wherein said surface layer is covered with the electrochromic layer, the electrochromic layer comprises a reversible thermally induced pupil region and whites area discoloration material, the color layer portion other than the area of the pupil and the whites area was transparent, the pupil region and whites area includes the initial state and discolored  state, the pupil when the area surrounding the pupil of the projection disposed on the electrochromic layer, when the temperature is higher than the color temperature of the pupil region pupil aperture area of the pupil region into the iris color, color temperature lower than the pupil region restore the initial state, the white of the white of the eye region is located in the projection area of the color layer, when the temperature is higher than the color temperature of the white of the eye region whites region, the white of the eye becomes red zone, below the discolored region whites temperature returns to the initial state. 2. The scope of the patent application toys eyes of item 1, wherein the initial state of the system and the pupil area of the pupil of the same color or transparent state 3 status as the scope of the patent application for Toys Item 1 Department of color or brown eyes, wherein the initial state of the system and the whites square area of the same color as the whites of a state or a transparent state 4. If the application is patentable scope of the toy eyes of item 1, wherein the iris blue. '5. The scope of the patent application toys eyes of item 1, wherein the area of the pupil region and whites metal ion compounds reversibly thermochromic material, inorganic salts reversible thermochromic liquid crystal material or a class of reversible thermally electrochromic material one. 098 122 999 Form Number A0101 Page 11 / Total 19 0982039143-0 2011021416. If the application is patentable scope of the toy eyes of item 1, wherein the color temperature of the color temperature of the pupil region and the whites of the same region. 7. - kinds of toys, including toy wafer and eyes, the eyes, including pre-painted toy pupil, iris and whites on a layer, the layer, the improvement wherein the toy further comprises a thermal conductor, the thermal conductor end and the wafer is then heat consumption 'and the other end connected to the toy eye out hot' toy of the eye surface is covered with a layer of the electrochromic layer, the electrochromic layer comprises a thermally-induced reversible color change material made of the pupil and the whites regional area the color layer portion other than the area of the pupil and the whites area was transparent, the pupil and the whites of the region are perforated region</claim-text>
      <img img-format=""tif"" img-content=""drawing"" file=""TW-201102141-AC00131.tif"" id=""icf0001""/>
      <claim-text>Including the initial state and the state of discoloration, the pupil aperture area surrounding the pupil in the projection of the electrochromic layer disposed on the sun about to rise when the temperature is higher than the hole area of the eye discoloration temperature region prepared hole, the pupil region becomes the Hong Qi color, color temperature lower than the pupil region to restore the initial state, the white of the eye area is located in the whites of the electrochromic layer projection area when the temperature is higher than the color temperature of the white of the eye area of the white of the eye area 'the whites of the eyes turn red area, below the color temperature of the white of the eye area to restore the initial state. 8. As stated in paragraph 7 of toys patent Fan Park, in which the pupil region</claim-text>
      <img img-format=""tif"" img-content=""drawing"" file=""TW-201102141-AC00132.tif"" id=""icf0002""/>
      <claim-text>The initial state of the system and the pupil color in the same state or transparent state. 9. The scope of the patent application for Toys of item 7, wherein the initial state of the system and the white of the eye region of the same color as the whites of state or transparent state. 10. The scope of the patent application for Toys in item 7, wherein the color of the iris color line brown or alum. 11. The scope of the patent application for Toys in item 7, wherein the area of the pupil region and whites metal ion compounds reversibly thermochromic material, inorganic salts reversible thermochromic liquid crystal material or a class of reversible thermochromic material the form number A0101 098 122 999 page 12 / total 19 0982039143-0 201102141 I2. ^ Please Toys patentable scope of the item 7, wherein the pupil aperture area, color temperature and the color temperature of the white of the eye region _ . Form Number A0101 0982039143-0 098 122 999 Page 13 / Total 19</claim-text>
    </claim>
  </claims>",446389000,A63H0003380000,A63H00338000
US20100330872,"Toy eye and toy using same","The present disclosure provides a toy eye. The toy eye includes a pupil area a first thermochromatic area an iris area and a second thermochromatic area. The first thermochromatic area has a first color in the center of the toy eye. The first thermochromatic area is made of reversible thermochromatic material with a first discoloration temperature. The first thermochromatic area is disposed around the pupil area. The iris area has the second color. The iris area is disposed around the first thermochromatic area. The second thermochromatic area is made of reversible thermochromatic material with a second discoloration temperature. The second thermochromatic area is disposed around the iris area. The first thermochromatic area and the second thermochromatic area changes color if the temperature of the toy eye is higher than the first discoloration temperature and the second discoloration temperature.","1. A toy eye comprising:
a pupil area with a first color;
a first thermochromatic area, made of reversible thermochromatic material with a first discoloration temperature, disposed around the pupil area,;
an iris area with a second color, disposed around the first thermochromatic area; and
a second thermochromatic area, made of reversible thermochromatic material with a second discoloration temperature, disposed around the iris area; wherein
when the temperature of the first thermochromatic area is lower than the first discoloration temperature, the color of the first thermochromatic area remains the first color, and when the temperature of the first thermochromatic area is higher than the first discoloration temperature, the color of the first thermochromatic area changes to the second color; and
when the temperature of the second thermochromatic area is lower than the second discoloration temperature, the color of the second thermochromatic area is a third color, and when the temperature of the second thermochromatic area is higher than the second discoloration temperature, the second thermochromatic area changes to red.
2. The toy eye as claimed in claim 1, wherein the first color is black, and the third color is white.
3. The toy eye as claimed in claim 1, wherein the second color is selected from one of brown and blue.
4. The toy eye as claimed in claim 1, wherein the reversible thermochromatic material of the first thermochromatic area is selected from one of metal ionic compound, inorganic salts, and liquid crystal.
5. The toy eye as claimed in claim 1, wherein the reversible thermochromatic material of the second thermochromatic area is selected from one of metal ionic compound, inorganic salts, and liquid crystal.
6. The toy eye as claimed in claim 1, wherein the first discoloration temperature is the same as the second discoloration temperature.
7. The toy eye as claimed in claim 1, wherein the shape of the pupil area is circular.
8. The toy eye as claimed in claim 1, wherein the first thermochromatic area is ring-shaped.
9. The toy eye as claimed in claim 1, wherein the iris area is ring-shaped.
10. A toy comprising:
a chip for processing data;
a toy eye comprising:
a pupil area with a first color;
a first thermochromatic area, made of reversible thermochromatic material with a first discoloration temperature, disposed around the pupil area;
an iris area with a second color, disposed around the first thermochromatic area; and
a second thermochromatic area, made of reversible thermochromatic material with a second discoloration temperature, disposed around the iris area; wherein
when the temperature of the first thermochromatic area is lower than the first discoloration temperature, the color of the first thermochromatic area remains the first color, and when the temperature of the first thermochromatic area is higher than the first discoloration temperature, the color of the first thermochromatic area changes to the second color;
when the temperature of the second thermochromatic area is lower than the second discoloration temperature, the color of the second thermochromatic area is a third color, and when the temperature of the second thermochromatic area is higher than the second discoloration temperature, the second thermochromatic area changes to red; and
a heat conductor with one end thereof thermally coupled to the chip, and the opposite end thereof thermally coupled to the toy eye.
11. The toy as claimed in claim 10, wherein the first color is black, and the third color is white.
12. The toy as claimed in claim 10, wherein the second color is selected from one of brown and blue.
13. The toy as claimed in claim 10, wherein the reversible thermochromatic material of the first thermochromatic area is selected from one of metal ionic compound, inorganic salts, and liquid crystal.
14. The toy as claimed in claim 10, wherein the reversible thermochromatic material of the second thermochromatic area is selected from one of metal ionic compound, inorganic salts, and liquid crystal.
15. The toy as claimed in claim 10, wherein the first discoloration temperature is the same as the second discoloration temperature.
16. The toy as claimed in claim 10, wherein the shape of the pupil area is circular.
17. The toy as claimed in claim 10, wherein the first thermochromatic area is ring-shaped.
18. The toy as claimed in claim 10, wherein the iris area is ring-shaped.",446392000,A63H0003380000,A63H00338000
TW200948449,"Toy eye","The invention relates to a toy eye. The toy eye includes an eye socket an eyeball a magnetic element and a number of electromagnetic elements. The eye socket defines a spherical receiving portion. The eyeball is rollably received in the spherical receiving portion. The magnetic element is attached to the eyeball. The electromagnetic elements are positioned at a side of the eye socket opposing to the eyeball and in different orientations with respect to the eye socket. The toy eye is capable of neatly rolling its eyeball. In particular by applying power thereto the electromagnetic elements in different orientations can attract cooperating with the magnetic element the eyeball roll to corresponding orientations.","1. kinds of toys eyes, the improvement wherein the toy eyes included - one formed with orbital planes a hemispherical-shaped storing portion of - a rolling accommodated in the hemispherical-shaped inner housing portion of the eye, a magnetic element attached to the eyeball and a plurality of electromagnetic elements are provided in the orbital planes of the eyeball on the opposite side of the plurality of orientations. 2. The scope of the patent application toys eyes of item i, in which the eye and the orbital slot with the frame.  3  If the application scope of the patent toys eyes of item 2, wherein the orbital planes made of an elastic material.  As stated toy eyes patentable scope of the item i, in which the eyeball between the orbital planes and provided with a lubricant or ball. Eye Toy as Affirms patentable scope of the item i, wherein, the pupil of the eye comprising a portion of the magnetic element disposed facing away from the pupil portion. As stated toy eyes patentable scope of the item 5, wherein the lag portion comprises a hole  color light source. Toy eyes chilly patent application the scope of paragraph 6 'Tho, the color light source comprises a color light-emitting diodes.  as Shen called Toys eye patentable scope of the item i, wherein the magnetic element is an electromagnet. - Toys asserts that the eyes of the scope of patent item i, wherein the magnetic element is a permanent magnet. Shen called as patentable scope of Article 9 of the eye toy, wherein the play - also include eye - a hemispherical shape with the apex portion of the housing opposite the permanent magnetic element disposed of 200,948,449.  11. If the application is patentable scope of the toy eyes of item , wherein the plurality of magnetic attraction between the magnetic element and the magnetic element is greater than the magnetic attraction between the permanent magnet and the plurality of solenoid elements. 12. The scope of the patent application toys eyes of item 1, wherein the plurality of elements close to the orbital frame electromagnetic set. 13. The scope of the patent application toys eyes of item i, wherein the plurality of magnetic poles of the magnetic elements are perpendicular to the surface of the orbital planes. 11</claim-text>
    </claim>
  </claims>",446266000,A63H0003420000,A63H00342000
TW200950868,"Toy eye","The invention relates to a toy eye. The toy eye includes an eye socket an eyeball an eyelid and at least two electromagnetic elements. One end of the eyelid is provided with an eyelash and the other end of the eyelid is provided with a magnetic element. The eye socket defines a spherical receiving portion. The eyeball is rollably received in the spherical receiving portion. The at least two electromagnetic elements are positioned upon the eye socket in different orientations with respect to the eye socket. The eyelid is movably arranged between the eye socket and the at least two electromagnetic elements. The toy eye is capable of neatly moving its eyelid. In particular by applying power thereto the electromagnetic elements formed in different orientations can attract cooperating with the magnetic element the eyelid move to the corresponding orientations.",">
      <claim-text>200 950 868 X. patented range h a toy eyes, wherein: the toy includes eye - orbital planes, an eye, a eyelids, and at least two electromagnetic elements, one end of the eyelid has eyelashes, the eyes away from that. said one end of the magnetic features of the eyelashes 2, the frame is formed with an orbital ball segment-shaped housing section, the eye is accommodated in the inner housing portion, said at least two electromagnetic assemblies are provided on the side of said plurality of orbital frame green , the skin (iv) (iv) is disposed between the frame and the electromagnetic ^ orbital elements. 2. The patentable scope of the application of eye toy item 1, wherein the pupil of the eye includes a hole, the pupil portion comprises a light color. 3. If the application scope of the patent toys eyes of item 2, wherein said color light source comprises a color light-emitting diodes. 4. The scope of the patent application toys eyes of item i, wherein said magnetic element is an electromagnet. 5. The scope of the patent application toys eyes of item 1, wherein said magnetic element is a permanent magnet . 6. Patent application range of the eyes of the toy item 2, wherein the toy further comprises a permanent magnet eye member, said permanent magnet member is disposed above and away from the orbital planes of the pupil aperture portion. 7. The scope of the patent application toys eyes of item 2, wherein the electromagnetic assembly is disposed above the orbital planes of the intermediate position close to the position of the pupil portion remote from the portion of the pupil. 8. The scope of the patent application toys eyes of item 2, wherein the electromagnetic assembly is disposed above the orbital planes of the section near the pupil position of 12,200,950,868 set. 9. Please Toys eye patentable scope of the item 6, wherein said at least two  magnetic attraction between the magnetic element and the magnetic element is greater than between the magnetic element and the plurality of electromagnetic permanent magnet element appeal. . As the scope of the patent application toys eyes of item 1, wherein the at least two magnetic poles of the magnetic elements are perpendicular to the inner surface of the orbital planes. </claim-text>
      <img img-format=""tif"" img-content=""drawing"" file=""TW-200950868-AC00121.tif"" id=""icf0001""/>
      <claim-text>13</claim-text>
    </claim>
  </claims>",446389000,A63H0003380000,A63H00338000
TW201002407,"Toy eye","The invention relates to a toy eye. The toy eye includes a shell a transparent member mounted in the shell a movable plate hung onto an inner side of the shell and a pupil disposed between the transparent member and the movable plate. The toy eye further includes an electromagnetic driver configured for reciprocatingly driving the movable plate moving toward to/away from the pupil. The pupil is deformated under the force applied from the movable plate.","1 002 407 X. patent Fan Park  1. - kind of toy eye 'which includes - spherical shell, - arranged in a spherical shell within two ,, through a movable plate and a transparent body disposed between the movable plate the inside hole, eight improvement wherein: the movable plate suspended inside the spherical shell, the toy eyes further comprises an electromagnetic drive assembly, the electromagnetic drive assembly with ^ driving the movable plate to close to or away from the direction of the pupil of the reciprocating motion, the pupil deformation occurs under the action of the connecting plate. 2. The toy eye spray patent application scope of the silk item i,  wherein the movable plate includes a first surface that it is close to the Ming and the second j surface distant from the transparency of the 'center of the surface of the second place the second direction perpendicular to the surface of a connecting rod extending direction, the electromagnetic drive element comprises two fixing portions, two of the first drive, and a silk drive member, the drive member are fixed to two first provided on the fixing portion, the a second drive member disposed on the connecting rod. Toys eyes ^ 4 as Shen Fan  the patent of item 2, the towel  relative position of the two fixed portion spherical body f were opened there - opening, the two fixed portions fixedly disposed in the opening. 4. If the application is patentable scope of the toy eyes of item 2, wherein: the first horse movable member is a permanent magnet, and the second drive member is an electromagnetic coil. 5. If the application is patentable scope of the toy eyes of item 2, wherein: the first drive of the electromagnetic coil, the second drive member is a permanent magnet. 6. The scope of the patent application toys eyes of item 2, wherein: the movable plate includes two opposite sides connecting the first and second surfaces of which are respectively disposed on a side opposite to at least - first hook the ball housing should be at least on a first hook provided with at least a second hook, the toy 12,201,002,407 eye further comprises at least _ Singles w ^ ...... member, the resilient member of the - end connected to the first hook on the other end connected to the second hook. Toy eyes brother 7. As stated in item 6 patent scope, and the body is the eye of the spherical shell - structure. ,, & Quot; transparent === toy eyes of the item 1, wherein: the transparent - concave hemisphere opposite the back of V = 'The creation of a center of the back of the original state of the pupil aperture to a long ball  and groove. And body structure of the pupil ... hole portion accommodated in the recess 9. The patent scope of the first body and the eye of the spherical shell 10. The color range of the first patent application eye of a black hole. Toys eyes of the item, wherein: the transparent element is independent of the two separate. The eyes of a toy, wherein: the pupil 13</claim-text>
    </claim>
  </claims>",446389000,A63H0003380000,A63H00338000
US20100056019,"Toy eye","A toy eye includes a casing having a transparent top portion a lens defining a through hole and a pupil received in through hole of the lens. The lens and the pupil are both made of soft resilient material and clung to the transparent top portion of the casing. The toy eye also includes a push-pull element for pushing the pupil towards the transparent top portion of the casing or pulling the pupil reversely. The toy eye further includes a light processing element for sensing the change of the outside light intensity and generating a driving signal when the value of the change of the light intensity reaches or exceeds a predetermined value and a driving element for driving the push-pull element to push or pull the pupil upon receiving the driving signal from the light processing element.","1. A toy eye comprising:
a casing having a transparent top portion;
a lens defining a through hole;
a pupil received in the through hole of the lens, wherein the lens and the pupil are both made of soft resilient material, and clung to the transparent top portion of the casing;
a push-pull element for pushing the pupil towards the transparent top portion of the casing or pulling the pupil reversely;
a light processing element for sensing the change of the outside light intensity and generating a driving signal when the value of the change of the light intensity reaches or exceeds a predetermined value; and
a driving element for driving the push-pull element to push or pull the pupil, upon receiving the driving signal from the light processing element.
2. The toy eye as described in claim 1, wherein when the driving element drives the push-pull element to push the pupil to press the top portion of the casing, impelling the contact area of the pupil and the top portion to increase, thereby the pupil is dilated; and when the driving element drives the push-pull element to pull the pupil, the pupil is squeezed by the lens, impelling the contact area of the pupil and the transparent top portion to decrease, thereby the pupil is contracted.
3. The toy eye as described in claim 1, wherein the lens and the pupil are made of silica gel material.
4. The toy eye as described in claim 1, wherein a circular wall protrudes towards the inner surface of the casing from the top portion, and the lens and the pupil are received in the circular wall.
5. The toy eye as described in claim 4, wherein the light processing element comprises a light conductor, a light sensor, and a circuit board, the light conductor is for conducting the outside light to the light sensor, the light sensor is for sensing the change of the light intensity, and the circuit board is for generating a driving signal when the value of the change of the sensed light reaches or exceeds a predetermined value.
6. The toy eye as described in claim 5, wherein the light conductor is located within the circular wall.
7. The toy eye as described in claim 6, wherein the light conductor is received within the pupil.
8. The toy eye as described in claim 5, wherein the push-pull element comprises a connecting panel, a push-pull panel, and a plurality of legs formed along the fringe of the push-pull panel, the pupil is adhered to the push-pull panel using adhesive, and the legs pass through a plurality of through holes defined in the circuit board and are adhered to the connecting panel using adhesive.
9. The toy eye as described in claim 8, wherein the driving element comprises a threaded shaft and the connecting panel comprises a threaded through hole, the threaded shaft engaged with the threaded through hole.
10. The toy eye as described in claim 1, wherein the casing comprises a front casing and a rear casing, the transparent top portion being formed on the front casing.
11. The toy eye as described in claim 10, wherein a bracket protrudes from the inner surface of the rear casing for supporting the driving element.",446392000,A63H0003400000,A63H00338000
CN206214755,"Can discern toy eyes of colour","The utility model discloses a can discern toy eyes of colour including set up the transparent convex lens that are used for forming the eyeball in the eye socket of toy set up in transparent convex lens bottom surface be used for forming the colour recognition device of pupil and set up in transparent convex lens bottom surface is used for forming sclerotic white sticker layer colour recognition device with the one end that transparent convex lens are adjacent is black or yellow the setting. With this structural design&#39;s toy eyes the eyes structure is more lifelike and can carry out colour discernment.","1 a which can identify colour of the toy eye wherein: Comprising a toy of the eye eyepit is used for forming of the eyes of transparent convex lens is set on the transparent bottom surface of convex lens for forming the pupil of the colour identification device and is set in said transparent convex lens the bottom surface of the gong is used for forming film a white adhesive paper layer said colour identification device is connected with the said transparent convex lens which is adjacent to the other end is black or yellow set.
According to claim 1 said which can identify colour of the toy eye wherein: Said colour identification device comprises a first electric control device and with the first electric control device is electrically connected to the colour of the sensor.
According to claim 1 said which can identify colour of the toy eye wherein: The first electric control device is set in the toy body said colour sensor bracket is set on the head part of the toy in the eye eyepit.
4 according to claim 1 said which can identify colour of the toy eye wherein: Said colour identification device includes first and second electric control device and the second electrically connected to the electric control device of ccd or cmos sensor.
5 according to claim 1 said which can identify colour of the toy eye wherein: Said second electric control device is set in the toy body of said ccd or cmos sensor bracket is set on the head part of the toy in the eye eyepit.",446389000,A63H0003380000,A63H00338000
US20090318057,"Toy eye","A toy eye includes a housing a light module and a shield. The housing defines an opening therein. The light module is received in the housing. The shield is positioned in the opening and comprises a light-permeating portion. The light module is configured for emitting light to illuminate the light-permeating portion.","1. A toy eye comprising:
a housing defining an opening therein;
a light module received in the housing; and
a shield positioned in the opening, comprising a light-permeating portion;
wherein the light module is configured for emitting light to illuminate the light-permeating portion.
2. The toy eye of claim 1, wherein the housing comprises a base and a shell mounted on the base.
3. The toy eye of claim 1, wherein the light module comprises a plurality of light sources and a light guiding body above the plurality of light sources.
4. The toy eye of claim 3, wherein the plurality of light sources are spaced apart from each other.
5. The toy eye of claim 4, wherein the light guiding body comprises a light-output portion and a plurality of light-input portions extending downwardly and outwardly from the light-output portion, each of the light-input portions is configured for receiving light emitted by one of the plurality of light sources and directing the light to the light-output portion, and the light-output portion is configured for mixing the light.
6. The toy eye of claim 5, wherein the plurality light sources are configured for emitting out different colored light respectively.
7. The toy eye of claim 6, wherein each of the light sources is configured to be turned on and off independently.
8. The toy eye of claim 3, further comprising a circuit board received in the housing and configured for carrying the plurality of light sources.
9. The toy eye of claim 2, wherein the shield comprises lugs, and the base comprises sockets for receiving the lugs.
10. The toy eye of claim 7, wherein the plurality of light sources comprise four light sources, and the plurality of light-input portions comprise four light-input portions.
11. The toy eye of claim 10, wherein the four light sources are configured for emitting red, yellow, green, and blue light, respectively.",446392000,"A63H0003380000 | A63H0003006000",A63H00338000
US20100029171,"Toy eye with changeable pupil thereof","A toy eye includes a front cover a rear cover and an iris assembly. The front cover defines a first through hole. The rear cover is coupled to the front cover to cooperatively define a receiving cavity. The iris assembly is received in the receiving cavity and includes a fixed supporting portion an elastic pupil portion a metallic body and an electromagnet. The supporting portion defines a second through hole. The pupil portion is attached to the supporting portion. The metallic body is fixed to the pupil portion and runs through the second through hole. The electromagnet is fixed to the rear cover and aligned with the metallic body.","1. A toy eye comprising:
a front cover defining a first through hole;
a rear cover coupled to the front cover to cooperatively define a receiving cavity; and
an iris assembly received in the receiving cavity and comprising:
a fixed supporting portion defining a second through hole;
an elastic pupil portion attached to the supporting portion;
a metallic body fixed to the elastic pupil portion and running through the second through hole; and
an electromagnet fixed to the rear cover and aligned with the metallic body;
wherein the electromagnet is activated and produces a magnetic field, the metallic body is pulled by the electromagnet due to the existence of the magnetic field, the pupil portion is stretched by the metallic body and the size of the pupil portion is changed.
2. The toy eye as claimed in claim 1, wherein the iris assembly further comprises an elastic iris portion surrounding the pupil portion, the iris portion and the pupil portion are supported by the supporting portion.
3. The toy eye as claimed in claim 1, wherein the front cover comprises a front portion and a first sidewall extending from the front portion, the rear cover comprises a rear portion and a second sidewall extending from the rear portion, the first sidewall has a shape and a size matching the second sidewall, the electromagnetic is attached to the rear portion by glue.
4. The toy eye as claimed in claim 3, wherein the toy eye further comprises at least two screws, at least two screw holders are formed on the internal surface of the first sidewall corresponding to the at least two screws, at least two rear through holes are defined on the rear portion of the rear cover corresponding to the at least two screw holders, the rear cover is assembled to the front cover by the screws passing through the rear through holes and the screw holders.
5. The toy eye as claimed in claim 3, wherein the toy eye further comprises at least two screws, at least two screw holders are formed on the rear portion of the rear cover corresponding to the at least two screws, at least two front through holes are defined on the first sidewall corresponding to the at least two screw holders, the front cover is assembled to the rear cover by the screws passing through the front through holes and the screw holders.
6. The toy eye as claimed in claim 2, wherein the pupil portion and the iris portion are attached to the supporting portion by glue.
7. The toy eye as claimed in claim 1, wherein the pupil portion is a black, elastic film.
8. The toy eye as claimed in claim 2, wherein the iris portion is made from an elastic material.
9. The toy eye as claimed in claim 1, wherein at least two hollow cylinders are formed on the internal surface of the first sidewall, at least two posts are formed on the supporting portion corresponding to the at least two hollow cylinders, the iris assembly is connected to the front cover by plugging the posts into the hollow cylinders.
10. The toy eye as claimed in claim 1, wherein at least two hollow cylinders are formed on the supporting portion, at least two posts are formed on the internal surface of the first sidewall corresponding to the at least two hollow cylinders, the iris assembly is connected to the front cover by plugging the posts into the hollow cylinders.",446392000,A63H0003380000,A63H00338000
