Publication Number,Title,Abstract,All Claims,First US Classification,All CP Classifications,All IP Classifications
US20060252587,"Cotton-stuffed ball","The present invention provides a kind of improved cotton-stuffed ball which is composed of foamed or non-foamed spherical ball skin would be formed based on a spherical empty ball model and an air hole was designed on the spherical ball skin; in addition a proper thin seam would be cut on the surface of ball skin as the ball line shape of the spherical ball skin so that some cotton can be squeezed into the interior of spherical ball skin and the thin seams would be sealed through bonding (integration closely suturing) to form a cotton-stuffed ball of good safety. Accordingly the inflation or pressure relief of the ball would be controlled well through the air hole for function selection of higher or lower elasticity.","1. A kind of improved cotton-stuffed ball, which is composed of foamed or non-foamed spherical ball skin formed based on a spherical empty ball model, and an air hole designed on the spherical ball skin; in addition, a proper thin seam would be cut on the surface of ball skin as the ball line shape of the spherical ball skin, so that some cotton can be squeezed into the interior of spherical ball skin, and the thin seams would be sealed through bonding (integration closely, suturing) to form a cotton-stuffed ball of good safety. Accordingly the inflation or pressure relief of the ball would be controlled well through the air hole for function selection of higher or lower elasticity. 
 
2. The Improved Cotton-stuffed Ball, as recited in claim 1, wherein said, it can be made of plastic or rubber. 
 
3. The Improved Cotton-stuffed Ball, as recited in claim 1, wherein said, the foamed or non-foamed spherical ball skin with different lines made with plastic or rubber were designed for different touch and quality feels for the difference while for different types and good appearance design. 
 
4. The Improved Cotton-stuffed Ball, as recited in claim 1, wherein said, it was designed based on a spherical empty ball model which can determine the specification and appearance of the spherical ball skin",473600000,"A63B0037000000 | A63B0041000000 | A63B2209000000",A63B03700000
CN105080147,"Manufacturing method of cotton stuffed toy containing electronic elements","The invention relates to a manufacturing method of a cotton stuffed toy containing electronic elements. The method sequentially comprises the following steps of: (a) cutting fabrics with the corresponding area according to the dimensions of the body part the legs and the head; (b) conveying the cut fabrics to different suturing production lines according to different positions and performing suturing from the inner sides of the fabrics to form various primary products corresponding to each component; (c) splicing the primary products and suturing the primary products into the shape of a cotton stuffed toy outwards turning the fabric and installing a flexible suturing ring used for suturing threads in each splicing part of the primary products; (d) stuffing cotton into the toy through a cotton stuffing seam then putting the electronic elements into the toy and suturing the cotton stuffing seam to form the cotton stuffed toy; and (e) passing the cotton stuffed toy through a metal detector. Therefore the strength of a sutured product in the suturing parts can be improved; the tearing of the suturing parts during the subsequent cotton stuffing can be avoided; the subsequent manual inspection step in the suturing parts is omitted; and the work efficiency is improved.","1""><claim-text>1 invention claims an electronic component is filled with cotton plush toy manufacturing method of said charge cotton plush toy comprises a body part is sewed on said body part of the bottom of the four leg part is sewed in the body part of the end part of the head part and gap on the body part the other end of tail part wherein it comprises the following steps: A according to said body part the leg part and said head part of the size of the cutting area corresponding to the surface of the material; B after clipping the surface of the material according to different part of transmitted to different production line the stitching material is sewed to form each part corresponding to a plurality of primary product; C the said primary product to process splicing and sewed into the cotton plush toy the shape of the flanging; The primary product of jointing part is set for sewing line the flexibility of the stitching ring the back part is reserved cotton-filling gap; D through the charging slot to the cotton is filled in the cotton and then put into the electronic component and suturing of the cotton is filled with gap forming the cotton-filling plush toy; E the said charge cotton plush toy through metal detector and it can ensure the inner of containing no metal material then packing it.</claim-text></claim><claim num=""2""><claim-text>According to claim 1 said content of the electronic component is filled with cotton plush toy manufacturing method of wherein: Said head part is set on the ear angle part of mouth and nose part and eye the ear part is set on said head part of the top of said angle part and said ear part is adjacent to each other and located on the inner side of the mouth and nose part is located on the head part of the lower part of said eye part is located on the angle part and the mouth and nose part between; Said step a is corresponding to the clipping and the ear part of said angle part of the mouth and nose part and said eye corresponding to the surface of the material and it is sewed on the head part is.</claim-text></claim><claim num=""3""><claim-text>According to claim 1 said content of the electronic component is filled with cotton plush toy manufacturing method of wherein: The following steps a cutting area corresponding to the surface of the material after the positive surface is printed or embroidered pattern.</claim-text></claim><claim num=""4""><claim-text>4 according to claim 1 said content of the electronic component is filled with cotton plush toy manufacturing method of wherein: The step d in the leg part of head part of tail part and body part of the sequence of the cotton.</claim-text></claim><claim num=""5""><claim-text>5 according to claim 1 said content of the electronic component is filled with cotton plush toy manufacturing method of wherein: The step d in the stitching said filling the gap at the same time of sewing the upper trademark or the label strip.</claim-text></claim></claims>",446044000,A63H0003020000,A63H00302000
JP2003290578,"Cotton stuffed body","PROBLEM TO BE SOLVED: To provide a repulsive cotton stuffed body such as a mattress capable of imparting functions such as water absorptivity moisture absorptivity a moisture discharging property divergence a warmth retaining property and a light weight property without the feeling of sinking to the floor.SOLUTION: For the stuffed body cotton (6) is stuffed inside a plurality of the sections of side cloth divided into a plurality of the sections by forming one or more inner partitions (4 5) in a longitudinal direction or a lateral direction. At least one selected from the inner partition (5) and the side face (3) of the side cloth is formed of an elastic tape and the cotton (6) is formed of compressed cotton in a plurality of the layers of different compressibilities. The plurality of the layers of the different compressibilities are integrally molded in the order of a hard cotton layer a body pressure distributing soft layer and a body function layer from the bottom. It is preferable that the Asker F hardness of the hard cotton layer is 30 and 50 the Asker F hardness of the body pressure distributing soft layer is 10 and 20 and the Asker F hardness of the body contact function layer is >20 and <30.COPYRIGHT: (C)2004JPO","1 > In lengthwise or cross direction medium divider of 1 or moreBeing formed, the aforementioned plural sections of the side area which is divided into the plural roomsBeing the packing body where it can stuff to the interior the medium cotton, it is chosen from the divider in the description above and the side of the aforementioned side area, it is littleOne is formed with elastic tape, as for the cotton in the description above with the compressed cotton of the plural layers where compressibility differs to thickness directionWhile featuring that it is formed the cotton packing body. < Claim 2 > As for the aforementioned elastic tape, in cross direction pulling tsu HariThe re it is in state the surface and the side area which forms back to be connected,In ru claim 1 medium cotton packing body of statement. < Claim 3 > Cross direction pulling expansion of the aforementioned elastic tapeRatio, in the claim 2 which is 3 - 70% the medium cotton packing body of statement. < Claim 4 > The aforementioned compressibility differs the compressed cotton of the plural layers where,In the claim 1 which just forms by thermal compression the medium cotton of statementPacking body. < Claim 5 > The aforementioned compressibility differs the compressed cotton of the plural layers where,From under it is hard in order of cotton layer, body pressure dispersed soft layer and body functional layer the productLayer in the claim 4 which is done the medium cotton packing body of statement. < Claim 6 > The description above is hard ground car F hardness of cotton layer 30 or more50 or less, ground car F hardness of body pressure dispersed soft layer 10 or more20 or less, ground car F hardness of body contact functional layer 20 surpassingIn the claim 5 which is under obtaining 30 the medium cotton packing body of statement. < Claim 7 > The description above are hard cotton layer and body pressure dispersed soft layer the gluing fiberTo be formed with the polyester fiber which mixes maintaining, human body functional layerThe claim 5 which is formed with natural fiber or exothermic fiberMedium cotton packing body of statement. < Claim 8 > The aforementioned compressibility differs the compressed cotton of the plural layers where,Cotton layer, seat condition multilayered structure is laminated by both surface to the center hard,The te in the claim 4 which is the medium cotton packing body of statement. < Claim 9 > Medium cotton packing body, mattress and bed pad,Mattress, foot warmer mattress, cushion and seat futon, chairThe claim which at least is one which is chosen from the futon, and the pillowIn 1 medium cotton packing body of statement.",297032000,"A47C0027120000 | A47G0009100000 | B68G0005000000 | B68G0011020000","A47C02712000 | A47G00910000 | B68G00500000 | B68G01102000"
WO2014126133,"Cotton-stuffed product","A cotton-stuffed product (1) comprising: stuffing cotton (10); and a bag (20) having an internal space (IS) capable of housing the stuffing cotton (10) and having a side fabric (21) comprising a knit fabric. The side fabric (21) of the bag (20) includes: an outside fabric (21a); and an inside fabric (21b) arranged overlapping the inside space (IS) side relative to the outside fabric (21a) and having a lower weight than the weight of the outside fabric (21a). As a result a cotton-stuffed product can be obtained that feels soft has high breathability and is capable of suppressing the stuffing cotton from leaking outside the product.","With cotton  A bag body having an internal space capable of accommodating the inner cotton and having a side fabric made of knit fabric,  The side cloth of the bag body includes an outer fabric, and an inner fabric that is disposed so as to overlap the outer space with respect to the outer fabric and has a basis weight smaller than the basis weight of the outer fabric. Product.
2. The filled cotton product according to claim 1, wherein the cotton includes a polyester fiber and a silicon coating layer covering the polyester fiber.
The filled cotton product according to claim 1, wherein the cotton includes one or more fibers selected from the group consisting of silk, cellulosic fibers, and animal hair fibers.
The medium cotton-containing product according to any one of claims 1 to 3, wherein the middle cotton includes long fiber cotton.
The basis weight of the outer base is 100 g / m 2 or more and 270 g / m 2 or less, and the basis weight of the inner base is 14 g / m 2 or more and 95 g / m 2 or less. A product with a cotton pad.",005494000,"A47C0027121000 | A47G0009020000 | A47G0009100000 | B68G2001005000","A47G00902000 | A47C02712000 | A47G00910000"
CN107500242,"Telescopic cotton stuffing head","The invention discloses a telescopic cotton stuffing head comprising a straight tube portion and a telescopic portion; one end of the straight tube portion is connected with a cotton stuffing machine and the other end of the straight tube portion is connected with the telescopic portion; the telescopic portion comprises a telescopic cylinder a plurality of installation rings telescopic rods and a telescopic driving device; the plurality of installation rings are disposed on the telescopic cylinder and distributed along the telescopic direction of the telescopic cylinder with multiple rows; and each telescopic rod is inserted into the installation rings in the same row and connected with the telescopic driving device. The telescopic cotton stuffing head has a function of automatically adjusting the size of the stuffing head.","1 the utility model claims an extension is filled with cotton head wherein it is comprised of straight barrel part and the extension part of the straight barrel part one end of the cotton-filling machine is connected with the other end of the said telescopic part is connected with said flexible part comprises a telescopic cylinder many hoisting ring is set telescopic link and flexible driving device a plurality of said installation ring is set in said telescopic cylinder the upper edge of said telescopic cylinder telescopic direction the distribution of multiple rows of the telescopic rod is inserted in the located in the same a row of said installation ring in the said telescopic rod and said telescopic drive device is connected with the.
According to claim 1 said extension is filled with cotton head wherein said telescopic cylinder is set with several support rings each said support ring and each row of the said installation ring is connected with the.
According to claim 2 said extension is filled with cotton head wherein the left and right of the dry and the said support ring are evenly distributed in said telescopic cylinder is set at the projecting.
4 according to claim 1 said extension is filled with cotton head wherein said supporting ring is distributed with several clampingpieces .
5 according to claim 1 said extension is filled with cotton head wherein said clamping piece and the supporting ring is movably connected with.
6 according to claim 1 said extension is filled with cotton head wherein said telescopic rod free end is set with limiting block of the said limit block it cannot pass through the said installation ring.",054044700,B68G0007060000,B68G00706000
JPS5454789,"Method of packaging fiber laminated body and cotton stuffed structure","PURPOSE: To provide a method of packaging a fiber laminated body and a cotton stuffed structure which are little lined while allowing quick and even deflation to be shrunk entirely when the pressure is reduced. CONSTITUTION: A fiber laminated body made of tow or staple fiber or a cotton stuffed structure 5 having the fiber laminated body applied into the side portions is rolled around a breathing core 1 having an almost circular envelope curve. Rolled fiber laminated body or cotton structure is placed into a bag in which pressure is rduced. As compared with the conventional method packaging by folding the fiber after unpacked can be improved better with limited lines. As a whole uniform quality can be obtainedCOPYRIGHT: (C)1979JPO&Japio",,100018000,"B65B0027120000 | B65B0005020000 | B65B0025000000 | B65B0031040000","B65B02712000 | B65B00502000 | B65B02500000 | B65B03104000"
CN101955149,"Pillow inner cotton stuffing forming device","The invention discloses a pillow inner cotton stuffing forming device which comprises four bases enclosing a square wherein the lower ends of the inside surfaces of the bases are connected with a bottom plate; each base has three regulating holes; the inside surface of each base is connected with a regulating rod; the upper parts of the inside surfaces of the four regulating rods are provided with an upper pressure plate; the two regulating rods on the same side are connected with the upper pressure plate; two groups of side plates are arranged between the bottom plate and the upper pressure plate; the side plates in each group are arranged oppositely; the side plates consist of lower side plates and upper side plate; the two ends of each upper plate are fixed on the regulating rods; the lower side plate and the upper side plate in each group of side plates are arranged in a staggered manner; the bottom surfaces of the lower side plates are fixed on the bottom plate; the upper side plates on the same side and one side of the upper pressure plate are connected; the outer side of the upper pressure plate is arranged on the upper side plates on the other side; and the inside surface of the upper pressure plate is embedded with a pleasure sensing plate. The pillow inner cotton stuffing forming device has the advantages of simple structure convenient use improvement on working efficiency and assurance of product quality.","1"">
    <claim-text>A pillow core filled with cotton setting device wherein the: It is comprised of four four the base the base plate are surrounded into square each of said base seat the inner surface of the lower part are fixedly connected with a bottom plate each of said base is set with three arranged in a row of the adjusting holes each said base seat on the inner surface of the through the inserted pin is movably connected with a vertical set adjusting rod said pin passes through one of the said regulating hole is inserted in the said adjusting rod of four said adjusting rod the inner surface of the upper part is set with one of the upper pressure plate of said upper pressure plate one side of the two ends of the part through the first hinge and the two said adjusting rod is connected with said bottom plate and said upper pressure plate is set between the two groups of side board every group of said side plate is placed oppositely to each group of said side plate is composed of the lower side board and upper side board is composed of each of the upper side board fixed on two sides of the regulating rod is set on each group of said side plate the lower side plate and the upper side plate are alternately placed in the lower side board the bottom surface of the fixed on said bottom plate wherein a group of side plate the upper side board and said upper pressing plate one side of the surface through the second hinge 7 ' are connected to the said of the upper pressure plate the other side is set on the other group of side plate the upper side board between said upper pressure plate the inner surface of the embedded in the pressure sensor plate</claim-text>
  </claim>
  <claim num=""2"">
    <claim-text>According to claim 1 said pillow core filled with cotton setting device wherein the: Of said upper pressure plate is set on the other side is equipped with spring sheet clip the other group of side plate the upper side board the upper surface of the middle is set with said buckle is matched with the concave opening of.</claim-text>
  </claim>
  <claim num=""3"">
    <claim-text>According to claim 1 said pillow core filled with cotton setting device wherein the: At least one of the base is set with a vertical scale of said plotting scale is set on said three regulating port 3 side.</claim-text>
  </claim>
</claims>",054044700,B68G0007060000,"B68G00706000 | A47G00910000"
CN101955149,"Pillow inner cotton stuffing forming device","The invention discloses a pillow inner cotton stuffing forming device which comprises four bases enclosing a square wherein the lower ends of the inside surfaces of the bases are connected with a bottom plate; each base has three regulating holes; the inside surface of each base is connected with a regulating rod; the upper parts of the inside surfaces of the four regulating rods are provided with an upper pressure plate; the two regulating rods on the same side are connected with the upper pressure plate; two groups of side plates are arranged between the bottom plate and the upper pressure plate; the side plates in each group are arranged oppositely; the side plates consist of lower side plates and upper side plate; the two ends of each upper plate are fixed on the regulating rods; the lower side plate and the upper side plate in each group of side plates are arranged in a staggered manner; the bottom surfaces of the lower side plates are fixed on the bottom plate; the upper side plates on the same side and one side of the upper pressure plate are connected; the outer side of the upper pressure plate is arranged on the upper side plates on the other side; and the inside surface of the upper pressure plate is embedded with a pleasure sensing plate. The pillow inner cotton stuffing forming device has the advantages of simple structure convenient use improvement on working efficiency and assurance of product quality.","1. a pillow fills cotton calibrator; It is characterized in that: comprise four bases (1); Four said bases (1) are enclosed square; The inside face bottom of each said base (1) is fixedly connected with a base plate (2) jointly; Each said base (1) is provided with three adjustment holes that form a line (3); Be connected with the adjust bar (5) of vertical setting on the inside face of each said base (1) through latch (4), said latch (4) passes one of them said adjustment hole (3) and is inserted in the said adjust bar (5), and the inside face top of four said adjusts bar (5) is provided with a top board (6); Two ends of one side of said top board (6) link to each other with two said adjusts bar (5) wherein through first hinge (7); Be provided with two groups of side plates between said base plate (2) and the said top board (6), every group of said side plate placed relatively, and every group of said side plate is made up of lower side panel (8) and epipleural (9); The both sides of each said epipleural (9) are fixed on the said adjust bar (5); Said lower side panel (8) and said epipleural (9) in every group of said side plate are staggeredly placed, and the bottom surface of said lower side panel (8) is fixed on the said base plate (2), wherein link to each other through second hinge (7 ') between the side of the said epipleural (9) in one group of side plate and said top board (6); The another side of said top board (6) places on the said epipleural (9) of another group side plate, is embedded with pressure sensitive plate (10) in the inside face of said top board (6).
      
      
        2. fill cotton calibrator according to the said pillow of claim 1, it is characterized in that
          
          :The opposite side of said top board (6) is provided with the buckle (11) with spring leaf, is provided with the recess (12) that is complementary with said buckle (11) in the upper surface of the said epipleural (9) in another group side plate.
        
        
      
      
        3. fill cotton calibrator according to the said pillow of claim 2, it is characterized in that
          
          :At least one said base (1) is provided with vertical scale graduation (13), and said scale graduation (13) places three said adjustment holes (3) other.",054044700,"B68G0007060000 | A47G0009100000","B68G00706000 | A47G00910000"
CN206011874,"Cotton stuffing spins in clothing man","The utility model discloses a cotton stuffing spins in clothing man cotton stuffing spins in clothing man includes the basic unit of the shaping layer and the inlayer in outermost tapetum intermediate level. The utility model provides a cotton stuffing spins in clothing man has the advantage of fire behaviour stand wear and tear and design effect.","1 a clothes family fabrics is filled with cotton wherein: The said clothes family fabrics is filled with cotton it is comprised of the outermost layer floss layer of the middle layer forming layer and inner layer base layer of the floss layer is adhered on the surface of wool or rabbit hair said base layer is chitin fibre and polyamide fibre is weaved by said setting layer is composed of several can be bent the cross section of metal wire and longitudinal metal wire.
According to claim 1 said clothes family fabrics is filled with cotton wherein: The wool layer thickness is 2mm l.
According to claim 1 said clothes family fabrics is filled with cotton wherein: Said base layer thickness is 2-3mm.",428478200,B32B0009020000,"B32B00902000 | B32B00904000 | B32B01502000 | B32B01514000"
JPH0330793,"Ticking-attaching device for cotton-stuffing machine","PURPOSE: To attach ticking easily and quickly by mechanical operation by a method wherein a rotation-driving device is connected with a rotary member and its device rotates the rotary member in the direction of circumference and shifts the ticking toward the root part of a wrapper along the peripheral surface of the wrapper. CONSTITUTION: Movable parts 2 2 are shifted toward a fixing part 1 and thus a wrapper 10 is made short and covered with an opening Wa of ticking W. The ticking W and coil springs 3a are held between side parts 2a of the wrapper 10 and cables 3b and by the existence of the cables 3b the coil springs 3a properly push the ticking W. A rotation-driving device 6 is operated and rotates a rotary member 3 counterclockwise. The ticking W is hauled from below to above and shifted toward a flange 2b along the peripheral surface of the wrapper 10 and attached to the wrapper 10. After the rotary member 3 is transversely shifted together with a frame 7 and is kept from the ticking W a fork 12 is shifted and cotton is stuffed into the ticking W.COPYRIGHT: (C)1991JPO&Japio",,054044700,B68G0007060000,B68G00706000
